"model-run","timestamp","t_2m","t_2m_unit","aswdir_s","aswdir_s_unit","aswdifd_s","aswdifd_s_unit","ws_10m","ws_10m_unit"
"00","2020-04-17 19:00:00",289.3501281738281,"K",0.296875043306499,"W/m²",-0.08696937561035101,"W/m²",2.121125216486344,"m/s"
"00","2020-04-17 19:15:00","","",-0.015624955646279002,"W/m²",0.147429466247558,"W/m²","",""
"00","2020-04-17 19:30:00","","",0.16406254225927902,"W/m²",-0.133822441101074,"W/m²","",""
"00","2020-04-17 19:45:00","","",-0.07421870739302701,"W/m²",0.272314071655273,"W/m²","",""
"00","2020-04-17 20:00:00",288.21759033203125,"K",0.17578128905759902,"W/m²",-0.165315628051757,"W/m²",1.71776617558,"m/s"
"00","2020-04-17 20:15:00","","",-0.019531209342595002,"W/m²",0.088578224182128,"W/m²","",""
"00","2020-04-17 20:30:00","","",0.269531287194954,"W/m²",0.10408878326416,"W/m²","",""
"00","2020-04-17 20:45:00","","",-0.23828121244079503,"W/m²",-0.134218215942382,"W/m²","",""
"00","2020-04-17 21:00:00",287.0990295410156,"K",0.050781286917626005,"W/m²",0.014190673828125002,"W/m²",2.3057291187948152,"m/s"
"00","2020-04-17 21:15:00","","",0.171875035462694,"W/m²",0.23283672332763602,"W/m²","",""
"00","2020-04-17 21:30:00","","",0.10937503499703201,"W/m²",-0.149962425231933,"W/m²","",""
"00","2020-04-17 21:45:00","","",-0.15234371603570002,"W/m²",0.193646430969238,"W/m²","",""
"00","2020-04-17 22:00:00",286.4638671875,"K",0.058593783585561006,"W/m²",-0.079850196838378,"W/m²",1.5177266063194401,"m/s"
"00","2020-04-17 22:15:00","","",0.06250003285913,"W/m²",0.041281700134277004,"W/m²","",""
"00","2020-04-17 22:30:00","","",0.19531253099648402,"W/m²",-0.130681037902832,"W/m²","",""
"00","2020-04-17 22:45:00","","",0.10156253140212701,"W/m²",0.09970283508300701,"W/m²","",""
"00","2020-04-17 23:00:00",286.4602966308594,"K",-0.234374970110754,"W/m²",0.029373168945312004,"W/m²",1.786324808983324,"m/s"
"00","2020-04-17 23:15:00","","",0.261718780383881,"W/m²",0.005892753601074,"W/m²","",""
"00","2020-04-17 23:30:00","","",0.152343779046916,"W/m²",0.029267311096191004,"W/m²","",""
"00","2020-04-17 23:45:00","","",-0.22265622174781202,"W/m²",0.09960746765136701,"W/m²","",""
"03","2020-04-17 03:00:00",283.0481262207031,"K",0.0,"W/m²",0.0,"W/m²",1.68403596812917,"m/s"
"03","2020-04-17 03:15:00","","",0.0,"W/m²",0.0,"W/m²","",""
"03","2020-04-17 03:30:00","","",0.0,"W/m²",0.0,"W/m²","",""
"03","2020-04-17 03:45:00","","",0.0,"W/m²",0.0,"W/m²","",""
"03","2020-04-17 04:00:00",282.7772521972656,"K",0.0,"W/m²",0.0,"W/m²",2.097952411254283,"m/s"
"03","2020-04-17 04:15:00","","",0.0,"W/m²",0.0,"W/m²","",""
"03","2020-04-17 04:30:00","","",0.0,"W/m²",0.0,"W/m²","",""
"03","2020-04-17 04:45:00","","",0.005126953125,"W/m²",1.10400390625,"W/m²","",""
"03","2020-04-17 05:00:00",281.92156982421875,"K",0.584716796875,"W/m²",12.91943359375,"W/m²",2.5271018003687553,"m/s"
"03","2020-04-17 05:15:00","","",5.62841796875,"W/m²",27.5048828125,"W/m²","",""
